alt	neu

180360	180400
220460	220480
230500	230510
240500	240520
260540	260560
340740	340780
360780	360840
370790	370850
380840	380880
420920	420960
430920	430990
440960	441020
461020	461060
481060	481120
491130	491150
501120	501180
521200	521280
541240	541320
561300	561370
581360	581400
601420	601450
621440	621520
641540	641580
661560	661620
681620	681680
701680	701740
721760	721780
731800	731810
741800	741840
761840	761900
771910	771930
781920	781950
801960	802000
812030	812050
822060	822080
1042610	1042670
1052620	1052680
1062630	1062710
1072620	1072720
1082650	1082770
1092660	1092760
1102690	1102810
1112720	1122800
1122770	1122850
1132870	1132840
1142850	1142890
1162890	1162930
